"","Rank","Song","Artist","Year"
"5623","23","Stitches","Shawn Mendesand","2016"
"5624","24","Hotline Bling","Drakeand","2016"
"5625","25","Cold Water","Major Lazer featuring Justin Bieber and M<U+00D8>and","2016"
"5626","26","Send My Love (To Your New Lover)","Adeleand","2016"
"5627","27","Roses","The Chainsmokers featuring Rozesand","2016"
"5628","28","Treat You Better","Shawn Mendesand","2016"
"5629","29","Too Good","Drake featuring Rihannaand","2016"
"5630","30","Low Life","Future featuring The Weekndand","2016"
"5631","31","What Do You Mean?","Justin Bieberand","2016"
"5632","32","The Hills","The Weekndand","2016"
"5633","33","Just Like Fire","P!nkand","2016"
"5634","34","Broccoli","DRAM featuring Lil Yachtyand","2016"
"5635","35","Don't","Bryson Tillerand","2016"
"5636","36","Dangerous Woman","Ariana Grandeand","2016"
"5637","37","Jumpman","Drake and Futureand","2016"
"5638","38","I Hate U, I Love U","Gnash featuring Olivia O'Brienand","2016"
"5639","39","Here","Alessia Caraand","2016"
"5640","40","Same Old Love","Selena Gomezand","2016"
"5641","41","Controlla","Drakeand","2016"
"5642","42","Like I'm Gonna Lose You","Meghan Trainor featuring John Legendand","2016"
"5643","43","One Call Away","Charlie Puthand","2016"
"5644","44","Let It Go","James Bayand","2016"
"5645","45","No","Meghan Trainorand","2016"
"5646","46","Never Forget You","Zara Larsson and MNEKand","2016"
"5647","47","Let Me Love You","DJ Snake featuring Justin Bieberand","2016"
"5648","48","Don't Mind","Kent Jonesand","2016"
"5649","49","H.O.L.Y.","Florida Georgia Lineand","2016"
"5650","50","We Don't Talk Anymore","Charlie Puth featuring Selena Gomezand","2016"
"5651","51","Into You","Ariana Grandeand","2016"
"5652","52","Gold","Kiiaraand","2016"
"5653","53","Exchange","Bryson Tillerand","2016"
"5654","54","679","Fetty Wap featuring Remy Boyzand","2016"
"5655","55","Oui","Jeremihand","2016"
"5656","56","Hands to Myself","Selena Gomezand","2016"
"5657","57","2 Phones","Kevin Gatesand","2016"
"5658","58","Starboy","The Weeknd featuring Daft Punkand","2016"
"5659","59","For Free","DJ Khaled featuring Drakeand","2016"
"5660","60","Never Be Like You","Flume featuring Kaiand","2016"
"5661","61","In the Night","The Weekndand","2016"
"5662","62","Me Too","Meghan Trainorand","2016"
"5663","63","Ex's & Oh's","Elle Kingand","2016"
"5664","64","Die a Happy Man","Thomas Rhettand","2016"
"5665","65","White Iverson","Post Maloneand","2016"
"5666","66","Close","Nick Jonas featuring Tove Loand","2016"
"5667","67","Unsteady","X Ambassadorsand","2016"
"5668","68","Sucker for Pain","Lil Wayne, Wiz Khalifa and Imagine Dragons with Logic and Ty Dolla Sign featuring X Ambassadorsand","2016"
"5669","69","Down in the DM","Yo Gotti featuring Nicki Minajand","2016"
"5670","70","Luv","Tory Lanezand","2016"
"5671","71","Sorry","Beyonc<U+00E9>and","2016"
"5672","72","Can't Feel My Face","The Weekndand","2016"
"5673","73","Hymn for the Weekend","Coldplayand","2016"
"5674","74","Say It","Tory Lanezand","2016"
"5675","75","Antidote","Travis Scottand","2016"
"5676","76","Lost Boy","Ruth Band","2016"
"5677","77","Side to Side","Ariana Grande featuring Nicki Minajand","2016"
"5678","78","Sit Still, Look Pretty","Dayaand","2016"
"5679","79","Wildest Dreams","Taylor Swiftand","2016"
"5680","80","Middle","DJ Snake featuring Bipolar Sunshineand","2016"
"5681","81","On My Mind","Ellie Gouldingand","2016"
"5682","82","Pop Style","Drake featuring Jay-Z and Kanye West[a]","2016"
"5683","83","When We Were Young","Adeleand","2016"
"5684","84","Hide Away","Dayaand","2016"
"5685","85","Lean On","Major Lazer and DJ Snake featuring M<U+00D8>and","2016"
"5686","86","I Know What You Did Last Summer","Shawn Mendes and Camila Cabelloand","2016"
"5687","87","All the Way Up","Fat Joe and Remy Ma featuring French Montana and Infaredand","2016"
"5688","88","Watch Me","Silent<U+00F3>and","2016"
"5689","89","Back to Sleep","Chris Brownand","2016"
"5690","90","No Limit","Usher featuring Young Thugand","2016"
"5691","91","Cut It","O.T. Genasis featuring Young Dolphand","2016"
"5692","92","Really Really","Kevin Gatesand","2016"
"5693","93","All In My Head (Flex)","Fifth Harmony featuring Fetty Wapand","2016"
"5694","94","Starving","Hailee Steinfeld and Grey featuring Zeddand","2016"
"5695","95","Adventure of a Lifetime","Coldplayand","2016"
"5696","96","Humble and Kind","Tim McGrawand","2016"
"5697","97","Wicked","Futureand","2016"
"5698","98","Tiimmy Turner","Desiignerand","2016"
"5699","99","See You Again","Wiz Khalifa featuring Charlie Puthand","2016"
"5700","100","Perfect","One Directionand","2016"
"5701","1","Shape of You","Ed Sheeranand","2017"
"5702","2","Despacito (Remix)","Luis Fonsi and Daddy Yankee featuring Justin Bieberand","2017"
"5703","3","That's What I Like","Bruno Marsand","2017"
"5704","4","Humble","Kendrick Lamarand","2017"
"5705","5","Something Just Like This","The Chainsmokers and Coldplayand","2017"
"5706","6","Bad and Boujee","Migos featuring Lil Uzi Vertand","2017"
"5707","7","Closer","The Chainsmokers featuring Halseyand","2017"
"5708","8","Body Like a Back Road","Sam Huntand","2017"
"5709","9","Believer","Imagine Dragonsand","2017"
"5710","10","Congratulations","Post Malone featuring Quavoand","2017"
"5711","11","Say You Won't Let Go","James Arthurand","2017"
"5712","12","I'm the One","DJ Khaled featuring Justin Bieber, Quavo, Chance the Rapper and Lil Wayneand","2017"
"5713","13","XO Tour Llif3","Lil Uzi Vertand","2017"
"5714","14","Mask Off","Futureand","2017"
"5715","15","Unforgettable","French Montana featuring Swae Leeand","2017"
"5716","16","24K Magic","Bruno Marsand","2017"
"5717","17","Stay","Zedd and Alessia Caraand","2017"
"5718","18","Wild Thoughts","DJ Khaled featuring Rihanna and Bryson Tillerand","2017"
"5719","19","Black Beatles","Rae Sremmurd featuring Gucci Maneand","2017"
"5720","20","Starboy","The Weeknd featuring Daft Punkand","2017"
"5721","21","Location","Khalidand","2017"
"5722","22","Attention","Charlie Puthand","2017"
"5723","23","There's Nothing Holdin' Me Back","Shawn Mendesand","2017"
"5724","24","Bodak Yellow","Cardi Band","2017"
"5725","25","Redbone","Childish Gambinoand","2017"
"5726","26","I Don't Wanna Live Forever","Zayn and Taylor Swiftand","2017"
"5727","27","It Ain't Me","Kygo and Selena Gomezand","2017"
"5728","28","iSpy","Kyle featuring Lil Yachtyand","2017"
"5729","29","Issues","Julia Michaelsand","2017"
"5730","30","Scars to Your Beautiful","Alessia Caraand","2017"
"5731","31","1-800-273-8255","Logic featuring Alessia Cara and Khalidand","2017"
"5732","32","Slow Hands","Niall Horanand","2017"
"5733","33","Love on the Brain","Rihannaand","2017"
"5734","34","I Feel It Coming","The Weeknd featuring Daft Punkand","2017"
"5735","35","Bounce Back","Big Seanand","2017"
"5736","36","Strip That Down","Liam Payne featuring Quavoand","2017"
"5737","37","Fake Love","Drakeand","2017"
"5738","38","Don't Wanna Know","Maroon 5 featuring Kendrick Lamarand","2017"
"5739","39","Look What You Made Me Do","Taylor Swiftand","2017"
"5740","40","Castle on the Hill","Ed Sheeranand","2017"
"5741","41","Bad Things","Machine Gun Kelly and Camila Cabelloand","2017"
"5742","42","Paris","The Chainsmokersand","2017"
"5743","43","Side to Side","Ariana Grande featuring Nicki Minajand","2017"
"5744","44","Rockabye","Clean Bandit featuring Sean Paul and Anne-Marieand","2017"
"5745","45","Feel It Still","Portugal. The Manand","2017"
"5746","46","Let Me Love You","DJ Snake featuring Justin Bieberand","2017"
"5747","47","Sorry Not Sorry","Demi Lovatoand","2017"
"5748","48","Bank Account","21 Savageand","2017"
"5749","49","Can't Stop the Feeling!","Justin Timberlakeand","2017"
"5750","50","Mi Gente","J Balvin and Willy William featuring Beyonc<U+00E9>and","2017"
"5751","51","Thunder","Imagine Dragonsand","2017"
"5752","52","T-Shirt","Migosand","2017"
"5753","53","Rake It Up","Yo Gotti featuring Nicki Minajand","2017"
"5754","54","Mercy","Shawn Mendesand","2017"
"5755","55","Tunnel Vision","Kodak Blackand","2017"
"5756","56","Rockstar","Post Malone featuring 21 Savageand","2017"
"5757","57","In Case You Didn't Know","Brett Youngand","2017"
"5758","58","Heathens","Twenty One Pilotsand","2017"
"5759","59","Now or Never","Halseyand","2017"
"5760","60","Caroline","Amin<U+00E9>and","2017"
"5761","61","Rolex","Ayo and Teoand","2017"
"5762","62","DNA","Kendrick Lamarand","2017"
"5763","63","Juju on That Beat (TZ Anthem)","Zay Hilfigerrr and Zayion McCalland","2017"
"5764","64","Swang","Rae Sremmurdand","2017"
"5765","65","Passionfruit","Drakeand","2017"
"5766","66","Loyalty","Kendrick Lamar featuring Rihannaand","2017"
"5767","67","Praying","Keshaand","2017"
"5768","68","Goosebumps","Travis Scottand","2017"
"5769","69","Cold","Maroon 5 featuring Futureand","2017"
"5770","70","Broccoli","DRAM featuring Lil Yachtyand","2017"
"5771","71","Slide","Calvin Harris featuring Frank Ocean and Migosand","2017"
"5772","72","What Ifs","Kane Brown featuring Lauren Alainaand","2017"
"5773","73","Chained to the Rhythm","Katy Perry featuring Skip Marleyand","2017"
"5774","74","Feels","Calvin Harris featuring Pharrell Williams, Katy Perry and Big Seanand","2017"
"5775","75","All Time Low","Jon Bellionand","2017"
"5776","76","Hurricane","Luke Combsand","2017"
"5777","77","Too Good at Goodbyes","Sam Smithand","2017"
"5778","78","Young Dumb & Broke","Khalidand","2017"
"5779","79","Magnolia","Playboi Cartiand","2017"
"5780","80","Love Galore","SZA featuring Travis Scottand","2017"
"5781","81","Drowning","A Boogie wit da Hoodie featuring Kodak Blackand","2017"
"5782","82","Starving","Hailee Steinfeld and Grey featuring Zeddand","2017"
"5783","83","Both","Gucci Mane featuring Drakeand","2017"
"5784","84","What About Us","Pinkand","2017"
"5785","85","Swalla","Jason Derulo featuring Nicki Minaj and Ty Dolla Signand","2017"
"5786","86","Slippery","Migos featuring Gucci Maneand","2017"
"5787","87","Sign of the Times","Harry Stylesand","2017"
"5788","88","Water Under the Bridge","Adeleand","2017"
"5789","89","Malibu","Miley Cyrusand","2017"
"5790","90","Down","Marian Hilland","2017"
"5791","91","No Promises","Cheat Codes featuring Demi Lovatoand","2017"
"5792","92","Treat You Better","Shawn Mendesand","2017"
"5793","93","I Get the Bag","Gucci Mane featuring Migosand","2017"
"5794","94","Small Town Boy","Dustin Lynchand","2017"
"5795","95","Everyday We Lit","YFN Lucci featuring PnB Rockand","2017"
"5796","96","Havana","Camila Cabello featuring Young Thugand","2017"
"5797","97","What Lovers Do","Maroon 5 featuring SZAand","2017"
"5798","98","Do Re Mi","Blackbearand","2017"
"5799","99","Look at Me!","XXXTentacionand","2017"
"5800","100","The Fighter","Keith Urban featuring Carrie Underwoodand","2017"
"5801","1","God's Plan","Drakeand","2018"
"5802","2","Perfect","Ed Sheeranand","2018"
"5803","3","Meant to Be","Bebe Rexha featuring Florida Georgia Lineand","2018"
"5804","4","Havana","Camila Cabello featuring Young Thugand","2018"
"5805","5","Rockstar","Post Malone featuring 21 Savageand","2018"
"5806","6","Psycho","Post Malone featuring Ty Dolla Signand","2018"
"5807","7","I Like It","Cardi B, Bad Bunny and J Balvinand","2018"
"5808","8","The Middle","Zedd, Maren Morris and Greyand","2018"
"5809","9","In My Feelings","Drakeand","2018"
"5810","10","Girls Like You","Maroon 5 featuring Cardi Band","2018"
"5811","11","Nice for What","Drakeand","2018"
"5812","12","Lucid Dreams","Juice Wrldand","2018"
"5813","13","Better Now","Post Maloneand","2018"
"5814","14","Finesse","Bruno Mars featuring Cardi Band","2018"
"5815","15","Boo'd Up","Ella Maiand","2018"
"5816","16","New Rules","Dua Lipaand","2018"
"5817","17","Sad!","XXXTentacionand","2018"
"5818","18","Never Be the Same","Camila Cabelloand","2018"
"5819","19","Love Lies","Khalid and Normaniand","2018"
"5820","20","No Tears Left to Cry","Ariana Grandeand","2018"
"5821","21","Mine","Bazziand","2018"
"5822","22","Thunder","Imagine Dragonsand","2018"
"5823","23","Look Alive","BlocBoy JB featuring Drakeand","2018"
"5824","24","Delicate","Taylor Swiftand","2018"
"5825","25","Yes Indeed","Lil Baby and Drakeand","2018"
"5826","26","Friends","Marshmello and Anne-Marieand","2018"
"5827","27","Bad at Love","Halseyand","2018"
"5828","28","Taste","Tyga featuring Offsetand","2018"
"5829","29","Let You Down","NFand","2018"
"5830","30","No Limit","G-Eazy featuring ASAP Rocky and Cardi Band","2018"
"5831","31","Fefe","6ix9ine featuring Nicki Minaj and Murda Beatzand","2018"
"5832","32","Tequila","Dan + Shayand","2018"
"5833","33","Feel It Still","Portugal. The Manand","2018"
"5834","34","MotorSport","Migos, Nicki Minaj and Cardi Band","2018"
"5835","35","I Like Me Better","Lauvand","2018"
"5836","36","Youngblood","5 Seconds of Summerand","2018"
"5837","37","Whatever It Takes","Imagine Dragonsand","2018"
"5838","38","Ric Flair Drip","Offset and Metro Boominand","2018"
"5839","39","I Fall Apart","Post Maloneand","2018"
"5840","40","Pray for Me","The Weeknd and Kendrick Lamarand","2018"
"5841","41","Back to You","Selena Gomezand","2018"
"5842","42","Sicko Mode","Travis Scottand","2018"
"5843","43","Walk It Talk It","Migos featuring Drakeand","2018"
"5844","44","Gucci Gang","Lil Pumpand","2018"
"5845","45","Him & I","G-Eazy and Halseyand","2018"
"5846","46","In My Blood","Shawn Mendesand","2018"
"5847","47","All the Stars","Kendrick Lamar and SZAand","2018"
"5848","48","Stir Fry","Migosand","2018"
"5849","49","Too Good at Goodbyes","Sam Smithand","2018"
"5850","50","Love","Kendrick Lamar featuring Zacariand","2018"
"5851","51","This Is America","Childish Gambinoand","2018"
"5852","52","Nonstop","Drakeand","2018"
"5853","53","Heaven","Kane Brownand","2018"
"5854","54","Bodak Yellow","Cardi Band","2018"
"5855","55","Freaky Friday","Lil Dicky featuring Chris Brownand","2018"
"5856","56","Gummo","6ix9ineand","2018"
"5857","57","Plug Walk","Rich the Kidand","2018"
"5858","58","Wait","Maroon 5and","2018"
"5859","59","Be Careful","Cardi Band","2018"
"5860","60","Wolves","Selena Gomez and Marshmelloand","2018"
"5861","61","Bartier Cardi","Cardi B featuring 21 Savageand","2018"
"5862","62","God Is a Woman","Ariana Grandeand","2018"
"5863","63","Big Bank","YG featuring 2 Chainz, Nicki Minaj and Big Seanand","2018"
"5864","64","Sorry Not Sorry","Demi Lovatoand","2018"
"5865","65","How Long","Charlie Puthand","2018"
"5866","66","Lights Down Low","Max featuring Gnashand","2018"
"5867","67","Young Dumb & Broke","Khalidand","2018"
"5868","68","One Kiss","Calvin Harris and Dua Lipaand","2018"
"5869","69","Natural","Imagine Dragonsand","2018"
"5870","70","You Make It Easy","Jason Aldeanand","2018"
"5871","71","Shape of You","Ed Sheeranand","2018"
"5872","72","I Get the Bag","Gucci Mane featuring Migosand","2018"
"5873","73","No Brainer","DJ Khaled featuring Justin Bieber, Chance the Rapper and Quavoand","2018"
"5874","74","Plain Jane","ASAP Ferg featuring Nicki Minajand","2018"
"5875","75","Sky Walker","Miguel featuring Travis Scottand","2018"
"5876","76","Marry Me","Thomas Rhettand","2018"
"5877","77","Eastside","Benny Blanco, Halsey and Khalidand","2018"
"5878","78","Call Out My Name","The Weekndand","2018"
"5879","79","King's Dead","Jay Rock, Kendrick Lamar, Future and James Blakeand","2018"
"5880","80","Happier","Marshmello and Bastilleand","2018"
"5881","81","Te Bot<U+00E9>","Nio Garc<U+00ED>a, Darell and Casper M<U+00E1>gico featuring Bad Bunny, Nicky Jam and Ozunaand","2018"
"5882","82","Simple","Florida Georgia Lineand","2018"
"5883","83","Lemon","N.E.R.D and Rihannaand","2018"
"5884","84","1-800-273-8255","Logic featuring Alessia Cara and Khalidand","2018"
"5885","85","Say Something","Justin Timberlake featuring Chris Stapletonand","2018"
"5886","86","I'm Upset","Drakeand","2018"
"5887","87","Get Along","Kenny Chesneyand","2018"
"5888","88","Moonlight","XXXTentacionand","2018"
"5889","89","What Lovers Do","Maroon 5 featuring SZAand","2018"
"5890","90","X","Nicky Jam and J Balvinand","2018"
"5891","91","Outside Today","YoungBoy Never Broke Againand","2018"
"5892","92","Trip","Ella Maiand","2018"
"5893","93","Dura","Daddy Yankeeand","2018"
"5894","94","Changes","XXXTentacionand","2018"
"5895","95","Mercy","Brett Youngand","2018"
"5896","96","One Number Away","Luke Combsand","2018"
"5897","97","Powerglide","Rae Sremmurd featuring Juicy Jand","2018"
"5898","98","IDGAF","Dua Lipaand","2018"
"5899","99","Mi Gente","J Balvin and Willy William featuring Beyonc<U+00E9>and","2018"
"5900","100","Believer","Imagine Dragonsand","2018"
"5901","1","Old Town Road","Lil Nas X featuring Billy Ray Cyrusand","2019"
"5902","2","Sunflower","Post Malone and Swae Leeand","2019"
"5903","3","Without Me","Halseyand","2019"
"5904","4","Bad Guy","Billie Eilishand","2019"
"5905","5","Wow","Post Maloneand","2019"
"5906","6","Happier","Marshmello and Bastilleand","2019"
"5907","7","7 Rings","Ariana Grandeand","2019"
"5908","8","Talk","Khalidand","2019"
"5909","9","Sicko Mode","Travis Scottand","2019"
"5910","10","Sucker","Jonas Brothersand","2019"
"5911","11","High Hopes","Panic! at the Discoand","2019"
"5912","12","Thank U, Next","Ariana Grandeand","2019"
"5913","13","Truth Hurts","Lizzoand","2019"
"5914","14","Dancing with a Stranger","Sam Smith and Normaniand","2019"
"5915","15","Se<U+00F1>orita","Shawn Mendes and Camila Cabelloand","2019"
"5916","16","I Don't Care","Ed Sheeran and Justin Bieberand","2019"
"5917","17","Eastside","Benny Blanco, Halsey and Khalidand","2019"
"5918","18","Going Bad","Meek Mill featuring Drakeand","2019"
"5919","19","Shallow","Lady Gaga and Bradley Cooperand","2019"
"5920","20","Better","Khalidand","2019"
"5921","21","No Guidance","Chris Brown featuring Drakeand","2019"
"5922","22","Girls Like You","Maroon 5 featuring Cardi Band","2019"
"5923","23","Sweet but Psycho","Ava Maxand","2019"
"5924","24","Suge","DaBabyand","2019"
"5925","25","Middle Child","J. Coleand","2019"
"5926","26","Drip Too Hard","Lil Baby and Gunnaand","2019"
"5927","27","Someone You Loved","Lewis Capaldiand","2019"
"5928","28","Ransom","Lil Teccaand","2019"
"5929","29","If I Can't Have You","Shawn Mendesand","2019"
"5930","30","Goodbyes","Post Malone featuring Young Thugand","2019"
"5931","31","Zeze","Kodak Black featuring Travis Scott and Offsetand","2019"
"5932","32","Better Now","Post Maloneand","2019"
"5933","33","Youngblood","5 Seconds of Summerand","2019"
"5934","34","Money in the Grave","Drake featuring Rick Rossand","2019"
"5935","35","Speechless","Dan + Shayand","2019"
"5936","36","Break Up with Your Girlfriend, I'm Bored","Ariana Grandeand","2019"
"5937","37","Please Me","Cardi B and Bruno Marsand","2019"
"5938","38","Money","Cardi Band","2019"
"5939","39","You Need to Calm Down","Taylor Swiftand","2019"
"5940","40","Panini","Lil Nas Xand","2019"
"5941","41","Look Back at It","A Boogie wit da Hoodieand","2019"
"5942","42","A Lot","21 Savageand","2019"
"5943","43","Me!","Taylor Swift featuring Brendon Urieand","2019"
"5944","44","Mia","Bad Bunny featuring Drakeand","2019"
"5945","45","Pop Out","Polo G featuring Lil Tjayand","2019"
"5946","46","Beautiful Crazy","Luke Combsand","2019"
"5947","47","Thotiana","Bluefaceand","2019"
"5948","48","Lucid Dreams","Juice Wrldand","2019"
"5949","49","Mo Bamba","Sheck Wesand","2019"
"5950","50","Beautiful People","Ed Sheeran featuring Khalidand","2019"
"5951","51","Wake Up in the Sky","Gucci Mane, Bruno Mars and Kodak Blackand","2019"
"5952","52","Whiskey Glasses","Morgan Wallenand","2019"
"5953","53","God's Country","Blake Sheltonand","2019"
"5954","54","Be Alright","Dean Lewisand","2019"
"5955","55","Pure Water","Mustard and Migosand","2019"
"5956","56","The Git Up","Blanco Brownand","2019"
"5957","57","Taki Taki","DJ Snake featuring Selena Gomez, Ozuna and Cardi Band","2019"
"5958","58","Close to Me","Ellie Goulding and Diplo featuring Swae Leeand","2019"
"5959","59","Envy Me","Calboyand","2019"
"5960","60","You Say","Lauren Daigleand","2019"
"5961","61","Hey Look Ma, I Made It","Panic! at the Discoand","2019"
"5962","62","Circles","Post Maloneand","2019"
"5963","63","Beer Never Broke My Heart","Luke Combsand","2019"
"5964","64","The London","Young Thug, J. Cole and Travis Scottand","2019"
"5965","65","Con Calma","Daddy Yankee and Katy Perry featuring Snowand","2019"
"5966","66","Murder on My Mind","YNW Mellyand","2019"
"5967","67","When the Party's Over","Billie Eilishand","2019"
"5968","68","Act Up","City Girlsand","2019"
"5969","69","I Like It","Cardi B, Bad Bunny and J Balvinand","2019"
"5970","70","Trampoline","Shaedand","2019"
"5971","71","Leave Me Alone","Flipp Dineroand","2019"
"5972","72","Breathin","Ariana Grandeand","2019"
"5973","73","Bury a Friend","Billie Eilishand","2019"
"5974","74","Close Friends","Lil Babyand","2019"
"5975","75","Baby Shark","Pinkfongand","2019"
"5976","76","My Type","Saweetieand","2019"
"5977","77","Worth It","YK Osirisand","2019"
"5978","78","Only Human","Jonas Brothersand","2019"
"5979","79","Knockin' Boots","Luke Bryanand","2019"
"5980","80","Trip","Ella Maiand","2019"
"5981","81","Rumor","Lee Briceand","2019"
"5982","82","Swervin","A Boogie wit da Hoodie featuring 6ix9ineand","2019"
"5983","83","How Do You Sleep?","Sam Smithand","2019"
"5984","84","Baby","Lil Baby and DaBabyand","2019"
"5985","85","Look What God Gave Her","Thomas Rhettand","2019"
"5986","86","Good as You","Kane Brownand","2019"
"5987","87","Clout","Offset featuring Cardi Band","2019"
"5988","88","Love Lies","Khalid and Normaniand","2019"
"5989","89","One Thing Right","Marshmello and Kane Brownand","2019"
"5990","90","Cash Shit","Megan Thee Stallion featuring DaBabyand","2019"
"5991","91","Tequila","Dan + Shayand","2019"
"5992","92","Shotta Flow","NLE Choppaand","2019"
"5993","93","Hot Girl Summer","Megan Thee Stallion featuring Nicki Minaj and Ty Dolla Signand","2019"
"5994","94","Talk You Out of It","Florida Georgia Lineand","2019"
"5995","95","Beautiful","Bazzi featuring Camila Cabelloand","2019"
"5996","96","Eyes on You","Chase Riceand","2019"
"5997","97","All to Myself","Dan + Shayand","2019"
"5998","98","Boyfriend","Ariana Grande and Social Houseand","2019"
"5999","99","Walk Me Home","Pinkand","2019"
"6000","100","Robbery","Juice Wrldand","2019"
"6001","1","Blinding Lights","The Weekndand","2020"
"6002","2","Circles","Post Maloneand","2020"
"6003","3","The Box","Roddy Ricchand","2020"
"6004","4","Don't Start Now","Dua Lipaand","2020"
"6005","5","Rockstar","DaBaby featuring Roddy Ricchand","2020"
"6006","6","Adore You","Harry Stylesand","2020"
"6007","7","Life Is Good","Future featuring Drakeand","2020"
"6008","8","Memories","Maroon 5and","2020"
"6009","9","The Bones","Maren Morrisand","2020"
"6010","10","Someone You Loved","Lewis Capaldiand","2020"
"6011","11","Say So","Doja Catand","2020"
"6012","12","I Hope","Gabby Barrett featuring Charlie Puthand","2020"
"6013","13","Whats Poppin","Jack Harlow featuring DaBaby, Tory Lanez and Lil Wayneand","2020"
"6014","14","Dance Monkey","Tones and Iand","2020"
"6015","15","Savage","Megan Thee Stallion featuring Beyonc<U+00E9>and","2020"
"6016","16","Roxanne","Arizona Zervasand","2020"
"6017","17","Intentions","Justin Bieber featuring Quavoand","2020"
"6018","18","Everything I Wanted","Billie Eilishand","2020"
"6019","19","Roses (Imanbek remix)","Saint Jhnand","2020"
"6020","20","Watermelon Sugar","Harry Stylesand","2020"
"6021","21","Before You Go","Lewis Capaldiand","2020"
"6022","22","Falling","Trevor Danieland","2020"
"6023","23","10,000 Hours","Dan + Shay and Justin Bieberand","2020"
"6024","24","WAP","Cardi B featuring Megan Thee Stallionand","2020"
"6025","25","Ballin'","Mustard and Roddy Ricchand","2020"
"6026","26","Hot Girl Bummer","Blackbearand","2020"
"6027","27","Blueberry Faygo","Lil Moseyand","2020"
"6028","28","Heartless","The Weekndand","2020"
"6029","29","Bop","DaBabyand","2020"
"6030","30","Lose You to Love Me","Selena Gomezand","2020"
"6031","31","Good as Hell","Lizzoand","2020"
"6032","32","Toosie Slide","Drakeand","2020"
"6033","33","Break My Heart","Dua Lipaand","2020"
"6034","34","Chasin' You","Morgan Wallenand","2020"
"6035","35","Savage Love (Laxed <U+2013> Siren Beat)","Jawsh 685 and Jason Deruloand","2020"
"6036","36","No Guidance","Chris Brown featuring Drakeand","2020"
"6037","37","My Oh My","Camila Cabello featuring DaBabyand","2020"
"6038","38","Dynamite","BTSand","2020"
"6039","39","Go Crazy","Chris Brown and Young Thugand","2020"
"6040","40","High Fashion","Roddy Ricch featuring Mustardand","2020"
"6041","41","Laugh Now Cry Later","Drake featuring Lil Durkand","2020"
"6042","42","Woah","Lil Babyand","2020"
"6043","43","Death Bed","Powfu featuring Beabadoobeeand","2020"
"6044","44","Se<U+00F1>orita","Shawn Mendes and Camila Cabelloand","2020"
"6045","45","Highest in the Room","Travis Scottand","2020"
"6046","46","Bad Guy","Billie Eilishand","2020"
"6047","47","Mood","24kGoldn featuring Iann Diorand","2020"
"6048","48","Rain on Me","Lady Gaga and Ariana Grandeand","2020"
"6049","49","For the Night","Pop Smoke featuring Lil Baby and DaBabyand","2020"
"6050","50","Ritmo (Bad Boys for Life)","Black Eyed Peas and J Balvinand","2020"
"6051","51","Heart on Ice","Rod Waveand","2020"
"6052","52","Nobody but You","Blake Shelton and Gwen Stefaniand","2020"
"6053","53","Trampoline","Shaedand","2020"
"6054","54","Come & Go","Juice Wrld and Marshmelloand","2020"
"6055","55","Truth Hurts","Lizzoand","2020"
"6056","56","If the World Was Ending","JP Saxe featuring Julia Michaelsand","2020"
"6057","57","We Paid","Lil Baby and 42 Duggand","2020"
"6058","58","Yummy","Justin Bieberand","2020"
"6059","59","One Man Band","Old Dominionand","2020"
"6060","60","Got What I Got","Jason Aldeanand","2020"
"6061","61","Sunday Best","Surfacesand","2020"
"6062","62","Godzilla","Eminem featuring Juice Wrldand","2020"
"6063","63","Bandit","Juice Wrld and YoungBoy Never Broke Againand","2020"
"6064","64","Party Girl","StaySolidRockyand","2020"
"6065","65","Die from a Broken Heart","Maddie and Taeand","2020"
"6066","66","Popstar","DJ Khaled featuring Drakeand","2020"
"6067","67","All I Want for Christmas Is You","Mariah Careyand","2020"
"6068","68","One of Them Girls","Lee Briceand","2020"
"6069","69","Hard to Forget","Sam Huntand","2020"
"6070","70","One Margarita","Luke Bryanand","2020"
"6071","71","Panini","Lil Nas Xand","2020"
"6072","72","Hot","Young Thug featuring Gunnaand","2020"
"6073","73","I Hope You're Happy Now","Carly Pearce and Lee Briceand","2020"
"6074","74","Emotionally Scarred","Lil Babyand","2020"
"6075","75","Suicidal","YNW Melly featuring Juice Wrldand","2020"
"6076","76","The Bigger Picture","Lil Babyand","2020"
"6077","77","Only Human","Jonas Brothersand","2020"
"6078","78","The Woo","Pop Smoke featuring 50 Cent and Roddy Ricchand","2020"
"6079","79","Sum 2 Prove","Lil Babyand","2020"
"6080","80","Stuck with U","Ariana Grande and Justin Bieberand","2020"
"6081","81","Mood Swings","Pop Smoke featuring Lil Tjayand","2020"
"6082","82","You Should Be Sad","Halseyand","2020"
"6083","83","Dior","Pop Smokeand","2020"
"6084","84","Supalonely","Benee featuring Gus Dappertonand","2020"
"6085","85","Even Though I'm Leaving","Luke Combsand","2020"
"6086","86","The Scotts","The Scotts (Travis Scott and Kid Cudi)and","2020"
"6087","87","Juicy","Doja Cat and Tygaand","2020"
"6088","88","Be Like That","Kane Brown, Swae Lee and Khalidand","2020"
"6089","89","Homesick","Kane Brownand","2020"
"6090","90","Rags2Riches","Rod Wave featuring ATR Son Sonand","2020"
"6091","91","Bluebird","Miranda Lambertand","2020"
"6092","92","Wishing Well","Juice Wrldand","2020"
"6093","93","Does to Me","Luke Combs featuring Eric Churchand","2020"
